product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P394624,4526,4.563411400795404,0.9258855585831063,0.8099730074445834,308.2211665930181,0.23817940786566505,342,1240,3316,1930,818,651,554,418,214,1989,679,0.12041537781705701,0.46862571807335396,0.10030932390631904,0.07247017233760494,0.0
P429952,4430,4.025959367945824,0.7537246049661399,0.8148108978675228,337.9367945823928,0.21693002257336344,62,539,2130,1218,541,790,488,216,99,1750,744,0.01580135440180587,0.5320541760722347,0.14108352144469527,0.09413092550790068,0.0
P480630,4430,4.025959367945824,0.7537246049661399,0.8148108978675228,337.9367945823928,0.21693002257336344,62,539,2130,1218,541,790,488,216,99,1750,744,0.01580135440180587,0.5320541760722347,0.14108352144469527,0.09413092550790068,0.0
P126301,4376,4.529478976234004,0.8671189146049482,0.8200816334731083,311.39968007312615,0.14625228519195613,17,734,227,611,295,879,462,19,12,1249,983,0.20726691042047532,0.43852833638025596,0.09574954296160877,0.11220292504570384,0.0
P453816,4376,4.529478976234004,0.8671189146049482,0.8200816334731083,311.39968007312615,0.14625228519195613,17,734,227,611,295,879,462,19,12,1249,983,0.20726691042047532,0.43852833638025596,0.09574954296160877,0.11220292504570384,0.0
P456412,4186,4.566650740563784,0.9303680169446651,0.8130601644029661,286.2202580028667,0.18824653607262304,46,346,463,1313,945,999,511,3,25,2265,553,0.07118967988533206,0.5088389870998566,0.11801242236024845,0.11371237458193979,0.0
P418218,4170,4.023501199040767,0.7344836466649498,0.7646162718973772,328.0851318944844,0.11247002398081535,460,1517,2338,897,522,553,834,395,175,1864,708,0.06402877697841726,0.5390887290167866,0.10167865707434053,0.18273381294964028,0.0
P454794,4170,4.023501199040767,0.7344836466649498,0.7646162718973772,328.0851318944844,0.11247002398081535,460,1517,2338,897,522,553,834,395,175,1864,708,0.06402877697841726,0.5390887290167866,0.10167865707434053,0.18273381294964028,0.0
P122900,3978,4.437405731523379,0.8608786610878661,0.7777692033883894,302.1372549019608,0.033685268979386625,579,2398,2822,995,234,435,851,631,144,1519,695,0.2445952740070387,0.45952740070387127,0.049773755656108594,0.21241830065359477,0.0
P409800,3837,4.338285118582226,0.8454545454545455,0.7984517554085885,215.26817826426895,0.12978889757623144,2,189,250,408,1296,658,184,11,78,1051,593,0.22700026062027626,0.42976283554860567,0.11441230127703936,0.09903570497784728,0.0
P427419,3800,4.211315789473685,0.8186842105263158,0.7831198520260098,268.2844736842105,0.25605263157894737,32,254,1405,1030,49,327,442,238,625,1130,821,0.014210526315789474,0.5063157894736842,0.1168421052631579,0.10657894736842105,0.0
P443563,3742,4.393105291288081,0.8551576696953501,0.778514206298318,255.45456974879744,0.1803848209513629,56,29,1394,428,1056,50,9,23,931,1077,258,0.03313735970069481,0.5109567076429716,0.1467129877071085,0.1288081239978621,0.0
P460779,3727,4.433861014220553,0.9313120472229676,0.7449162731063552,302.8001073249262,0.16528038636973438,418,525,562,230,991,404,316,382,350,2028,846,0.009390931043734908,0.5841159109203112,0.14435202575798228,0.09686074590823719,0.0
P12573,3595,4.681780250347705,0.9111111111111111,0.7787370517630988,274.45757997218357,0.08094575799721836,13,144,1013,751,685,115,13,73,297,930,589,0.5757997218358831,0.2250347705146036,0.0564673157162726,0.061752433936022255,0.0
P433520,3472,4.401785714285714,0.8819124423963134,0.6493723542543546,340.400633640553,0.20794930875576037,168,859,2028,771,980,336,280,256,104,1789,551,0.007488479262672811,0.5198732718894009,0.1581221198156682,0.10656682027649769,0.0
P270594,3441,4.605928509154316,0.9369872005251066,0.8037756323544164,331.0999709386806,0.1941296134844522,140,825,1970,801,894,266,225,152,136,1467,557,0.14850334205172916,0.4524847428073234,0.11159546643417612,0.09328683522231909,0.0
P392246,3440,4.348255813953489,0.8516727126158807,0.7813714268529122,406.1093023255814,0.14215116279069767,39,308,406,470,127,733,1354,87,127,1270,1120,0.17616279069767443,0.4613372093023256,0.10261627906976745,0.11773255813953488,0.0
P481817,3408,4.240316901408451,0.7834394904458599,0.7350202131092101,298.1605046948357,0.09565727699530517,20,235,573,364,1307,285,215,68,48,1298,447,0.3685446009389671,0.36414319248826293,0.10240610328638497,0.06924882629107981,0.0
P467762,3321,4.369165913881361,0.8566696778078892,0.7768886483970457,312.07226738934054,0.15627822944896116,58,251,690,420,1229,500,471,159,316,1609,652,0.016862390846130684,0.5682023486901535,0.11863896416741945,0.14001806684733514,0.0
P458219,3321,4.369165913881361,0.8566696778078892,0.7768886483970457,312.07226738934054,0.15627822944896116,58,251,690,420,1229,500,471,159,316,1609,652,0.016862390846130684,0.5682023486901535,0.11863896416741945,0.14001806684733514,0.0
